Fecha,ID_de_trampa,Zona,Coordenada_Este,Coordenada_Norte,Responsable_de_captura,Otros_responsables,Longitud_total,Longitud_de_cola,Altura,Sexo,Edad,Color,Patron,Gris,Negro,Pardo,Amarillo,Naranja,Blanco,Peso,Condicion_corporal,Altitud,Fase,Estado_de_salud,Estado_reproductivo,Contenido_estomacal_notas,Contenido_estomacal_plumas,Contenido_estomacal_pelos,Contenido_estomacal_insectos,Contenido_estomacal_plantas,Contenido_estomacal_desperdicios,Contenido_estomacal_inorganico,Observaciones
26/Feb/2018,TC-01-014-AG,1,377414,3196724,NA,NA,62,24,22,H,juvenil,negro,solido,0,1,0,0,0,0,2.1,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/Feb/2018,TC-01-119-SF,1,378090,3198276,NA,NA,68,24,25,H,juvenil,negro,solido,0,1,0,0,0,0,2.5,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/Feb/2018,TC-01-120-SF,1,377906,3198370,NA,NA,76,28,25,M,adulto,gris tigre,atigrado,1,0,0,0,0,0,3.5,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/Feb/2018,TC-01-213-DN,1,378530,3199055,NA,NA,74,25,22,H,adulto,negro,solido,0,1,0,0,0,0,3.4,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/Feb/2018,TC-01-175-AG,1,377459,3199661,NA,NA,NA,NA,NA,H,adulto,gris tigre,atigrado,1,0,0,0,0,0,NA,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/Feb/2018,TC-01-060-JA,1,378442,3197224,NA,NA,66,28.5,25.8,H,juvenil,gris tigre,atigrado,1,0,0,0,0,0,2.2,3,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/Mar/2018,TC-01-295-JA,1,378165,3200013,NA,NA,48,25,20,H,adulto,gris tigre,atigrado,1,0,0,0,0,0,3.4,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/Mar/2018,TC-01-296-JA,1,377508,3200447,NA,NA,44,24,19,H,adulto,negro,solido,0,1,0,0,0,0,3,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/Mar/2018,TC-01-088-TR,1,375359,3199178,NA,NA,65,22,20,M,juvenil,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/Mar/2018,TC-01-291-JA,1,378904,3199666,NA,NA,55,19,18,H,juvenil,gris tigre,atigrado,1,0,0,0,0,0,1,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/Mar/2018,TC-01-027-AG,1,375385,3196888,NA,NA,70,27,26,M,juvenil,negro,solido,0,1,0,0,0,0,NA,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/Mar/2018,TC-01-261-AC,1,377488,3199970,NA,NA,71,25,NA,H,adulto,gris tigre,atigrado,1,0,0,0,0,0,3.8,3,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/Mar/2018,TC-01-270-AC,1,375764,3200564,NA,NA,48,19,NA,H,juvenil,gris tigre,atigrado,1,0,0,0,0,0,0.92,1,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/Mar/2018,TC-01-100-TR,1,376134,3198945,NA,NA,59.8,20.1,22.5,H,juvenil,gris tigre,atigrado,1,0,0,0,0,0,2.2,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/Mar/2018,TC-01-060-JA,1,378442,3197224,NA,NA,71,28,24.5,H,juvenil,gris tigre,atigrado,1,0,0,0,0,0,2.5,4,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/Mar/2018,TC-01-195-JA,1,377677,3199252,NA,NA,40,22,17,M,juvenil,gris tigre,atigrado,1,0,0,0,0,0,2,2,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/Mar/2018,TC-01-165-TR,1,374961,3199175,NA,NA,68,21,20,M,adulto,gris tigre,atigrado,1,0,0,0,0,0,3.5,3,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/Mar/2018,TC-01-266-AC,1,376506,3200349,NA,NA,71,28,28,H,adulto,gris tigre,atigrado,1,0,0,0,0,0,NA,3,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/Mar/2018,TC-01-211-DN,1,378917,3198891,NA,NA,48,16.5,17.5,M,juvenil,gris tigre,atigrado,1,0,0,0,0,0,1.1,2,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/Mar/2018,TC-02-001-DN,2,374440,3200878,NA,NA,77,28.5,22,M,adulto,gris tigre,atigrado,1,0,0,0,0,0,3.7,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/Mar/2018,TC-01-004-AC,1,376132,3197375,NA,NA,59,21,22,M,juvenil,gris tigre,atigrado,1,0,0,0,0,0,1.6,2,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/Mar/2018,TC-01-013-AC,1,376875,3197324,NA,NA,71,29,24,M,juvenil,gris tigre,atigrado,1,0,0,0,0,0,2.5,4,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/Mar/2018,TC-01-215-DN,1,378140,3199298,NA,NA,62,22.5,21,H,juvenil,gris tigre,atigrado,1,0,0,0,0,0,2,3,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/Mar/2018,TC-01-207-JA,1,374626,3200439,NA,NA,59,22,18,H,juvenil,negro,solido,0,1,0,0,0,0,2,3,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/Mar/2018,TC-01-232-SF,1,NA,NA,NA,NA,76,30,28,H,juvenil,negro,solido,0,1,0,0,0,0,4.5,3,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/Mar/2018,TC-01-238-SF,1,NA,NA,NA,NA,68,26,25,H,juvenil,blanco con negro,bicolor,0,1,0,0,0,1,2.5,1,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/Mar/2018,TC-01-273-AC,1,NA,NA,NA,NA,68.5,25,31,H,adulto,gris tigre,atigrado,1,0,0,0,0,0,3.3,3,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/Mar/2018,TC-01-218-DN,1,376524,3203658,NA,NA,76,26,25,M,juvenil,gris tigre,atigrado,1,0,0,0,0,0,3.5,2,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/Mar/2018,TC-01-275-AC,1,NA,NA,NA,NA,75,29,32,M,adulto,gris tigre,atigrado,1,0,0,0,0,0,4,4,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/Mar/2018,TC-01-176-AG,1,NA,NA,NA,NA,74,26.5,36,M,adulto,gris tigre,atigrado,1,0,0,0,0,0,4.7,4,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/Mar/2018,TC-01-233-SF,1,NA,NA,NA,NA,63,24,23.5,H,juvenil,gris tigre,atigrado,1,0,0,0,0,0,2.5,2,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/Mar/2018,TC-01-234-SF,1,NA,NA,NA,NA,56,22,22,H,juvenil,gris tigre,atigrado,1,0,0,0,0,0,1.5,1,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/Mar/2018,TC-02-005-K9,2,374669,3202833,NA,NA,79,29,28,M,adulto,gris tigre,atigrado,1,0,0,0,0,0,3.1,4,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/Mar/2018,TC-02-007-TX,2,376524,3203658,NA,NA,70,28,26,H,juvenil,negro,solido,0,1,0,0,0,0,2.3,2,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
